#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Sat Feb 17 12:02:30 EST 2024,17,17,MapReduceFactories,A1ConfigurationProvided+ DefaultFactoryMapObjectList+ DefaultFactoryReduceObjectList+ MapperFactory+ ReducerFactory+ , , ,A1AccessModifiersMatched A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride IntSummingListMapper ReducerClass StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult SumMapperClass TokenCountingListMapper TokenCountsMapperClass ,0,0,true,DefaultFactoryMapObjectList DefaultFactoryReduceObjectList MapperFactory ReducerFactory ,A1ConfigurationProvided , ,DefaultFactoryMapObjectList-(5.0/5.0) DefaultFactoryReduceObjectList-(10.0/10.0) MapperFactory-(10.0/10.0) ReducerFactory-(10.0/10.0) , ,
1,Sat Feb 17 12:02:34 EST 2024,20,3,SingleThreadIntSum,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper+ MapperFactory ReducerFactory , ,StandAloneSingleThreadSumFactoryChange+ StandAloneSingleThreadSumMVC+ StandAloneSingleThreadSumMapReduceListImplementation+ StandAloneSingleThreadSumResult+ ,A1AccessModifiersMatched A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride ReducerClass StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult SumMapperClass TokenCountingListMapper TokenCountsMapperClass ,0,1,true,IntSummingListMapper StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult , , ,IntSummingListMapper-(10.0/10.0) StandAloneSingleThreadSumFactoryChange-(0.0/10.0) StandAloneSingleThreadSumMVC-(0.0/10.0) StandAloneSingleThreadSumMapReduceListImplementation-(0.0/30.0) StandAloneSingleThreadSumResult-(0.0/10.0) , ,
2,Sat Feb 17 12:02:39 EST 2024,31,11,MapReduceClasses,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass+ ReducerFactory SumMapperClass+ TokenCountsMapperClass+ , ,StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult ,A1AccessModifiersMatched A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult TokenCountingListMapper ,0,2,true,ReducerClass SumMapperClass TokenCountsMapperClass , , ,ReducerClass-(5.0/5.0) SumMapperClass-(5.0/5.0) TokenCountsMapperClass-(5.0/5.0) , ,
3,Sat Feb 17 12:02:42 EST 2024,34,3,SingleThreadTokenCount,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper+ TokenCountsMapperClass , ,StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC+ StandAloneSingleThreadTokenCountMapReduceListImplementation+ StandAloneSingleThreadTokenCountResult+ ,A1AccessModifiersMatched A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride ,0,3,true,StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult TokenCountingListMapper , , ,StandAloneSingleThreadTokenCountMVC-(0.0/30.0) StandAloneSingleThreadTokenCountMapReduceListImplementation-(0.0/30.0) StandAloneSingleThreadTokenCountResult-(0.0/10.0) TokenCountingListMapper-(10.0/10.0) , ,
4,Sat Feb 17 12:03:01 EST 2024,34,0,A1GeneralStyleSuite,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched+ A1InterfaceAsType+ A1MnemonicNames+ A1NamedConstants+ A1NoCheckstyleWarnings+ A1PublicMethodsOverride+ StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,0,4,true,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride , ,A1AccessModifiersMatched A1MnemonicNames A1NoCheckstyleWarnings A1PublicMethodsOverride ,A1AccessModifiersMatched-(0.0/5.0) A1InterfaceAsType-(0.0/10.0) A1MnemonicNames-(0.0/15.0) A1NamedConstants-(0.0/1.0) A1NoCheckstyleWarnings-(0.0/20.0) A1PublicMethodsOverride-(0.0/10.0) , ,
5,Sat Feb 17 12:03:05 EST 2024,34,0,SingleThreadIntSum,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,0,5,true,IntSummingListMapper StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult , , ,IntSummingListMapper-(10.0/10.0) StandAloneSingleThreadSumFactoryChange-(0.0/10.0) StandAloneSingleThreadSumMVC-(0.0/10.0) StandAloneSingleThreadSumMapReduceListImplementation-(0.0/30.0) StandAloneSingleThreadSumResult-(0.0/10.0) , ,
6,Sat Feb 17 12:03:07 EST 2024,34,0,StandAloneSingleThreadSumResult,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,0,6,false, , , ,StandAloneSingleThreadSumResult-(0.0/10.0) , ,
7,Sat Feb 17 12:04:01 EST 2024,34,0,MapReduceFactories,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,1,0,true,DefaultFactoryMapObjectList DefaultFactoryReduceObjectList MapperFactory ReducerFactory ,A1ConfigurationProvided , ,DefaultFactoryMapObjectList-(5.0/5.0) DefaultFactoryReduceObjectList-(10.0/10.0) MapperFactory-(10.0/10.0) ReducerFactory-(10.0/10.0) , ,
8,Sat Feb 17 12:04:04 EST 2024,34,0,SingleThreadIntSum,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,1,1,true,IntSummingListMapper StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult , , ,IntSummingListMapper-(10.0/10.0) StandAloneSingleThreadSumFactoryChange-(0.0/10.0) StandAloneSingleThreadSumMVC-(0.0/10.0) StandAloneSingleThreadSumMapReduceListImplementation-(0.0/30.0) StandAloneSingleThreadSumResult-(0.0/10.0) , ,
9,Sat Feb 17 12:05:27 EST 2024,48,14,SingleThreadIntSum,A1ConfigurationProvided DefaultFactoryMapObjectList DefaultFactoryReduceObjectList IntSummingListMapper MapperFactory ReducerClass ReducerFactory StandAloneSingleThreadSumFactoryChange+ StandAloneSingleThreadSumMVC+ StandAloneSingleThreadSumMapReduceListImplementation+ StandAloneSingleThreadSumResult+ SumMapperClass TokenCountingListMapper TokenCountsMapperClass , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride StandAloneSingleThreadTokenCountMVC StandAloneSingleThreadTokenCountMapReduceListImplementation StandAloneSingleThreadTokenCountResult ,A1ClassIsGeneric A1ExpectedCalls A1ExpectedGetters A1ExpectedSetters A1ExpectedSignatures A1ExpectedSupertypes ,2,0,true,IntSummingListMapper StandAloneSingleThreadSumFactoryChange StandAloneSingleThreadSumMVC StandAloneSingleThreadSumMapReduceListImplementation StandAloneSingleThreadSumResult ,A1ConfigurationProvided , ,IntSummingListMapper-(10.0/10.0) StandAloneSingleThreadSumFactoryChange-(10.0/10.0) StandAloneSingleThreadSumMVC-(10.0/10.0) StandAloneSingleThreadSumMapReduceListImplementation-(30.0/30.0) StandAloneSingleThreadSumResult-(10.0/10.0) , ,
